omega_x,omega_y,qx,qy,Mx,My,u0,u1,psi,ind,t,x,y,z,xd,yd,zd
35.0,-17.0,0.00433500437065959,-0.00424747122451663,-1.1816704545454546,0.22104924242424243,0.0,0.0,0.06259915232658386,0.0,13.139,0.3146092414855957,0.01586320251226425,0.9491117000579834,0.3000005781650543,-2.9103830456733704e-11,0.901348614692688
39.0,-36.0,0.00433500437065959,-0.00424747122451663,-1.1740871212121213,0.1787007575757576,0.0,0.0,0.06259915232658386,0.0,13.143,0.3146890699863434,0.015895767882466317,0.949087393283844,0.3000005781650543,-2.9103830456733704e-11,0.9017090201377869
51.0,8.0,0.004419705364853144,-0.0040624369867146015,-1.1514848484848488,0.22489015151515152,0.0,0.0,0.06259915232658386,0.0,13.147,0.31476889848709105,0.015928333252668382,0.9490630865097046,0.3000005781650543,-2.9103830456733704e-11,0.9021135330200195
55.0,-6.0,0.004419705364853144,-0.0040624369867146015,-1.151731060606061,0.29698106060606067,0.0,0.0,0.06259915232658386,0.0,13.151,0.31478092074394226,0.015918276086449624,0.9490722775459289,0.3000005781650543,-2.9103830456733704e-11,0.9025624871253968
65.0,-16.0,0.004672236740589142,-0.004024401307106018,-1.1317386363636364,0.1039507575757576,0.0,0.0,0.06259915232658386,0.0,13.155,0.31479294300079347,0.015908218920230865,0.9490814685821534,0.3000005781650543,-2.9103830456733704e-11,0.9030550241470336
55.0,14.0,0.004672236740589142,-0.004024401307106018,-1.0934772727272728,0.1344318181818182,0.0,0.0,0.06259915232658386,0.0,13.159,0.3148199200630188,0.01590440161526203,0.9490814805030823,0.3000005781650543,-2.9103830456733704e-11,0.9035915255546569
45.0,-20.0,0.004672236740589142,-0.004024401307106018,-1.1207083333333334,0.18234469696969696,0.0,0.0,0.06259915232658386,0.0,13.163,0.31481008529663085,0.015886128321290015,0.9490944981575012,0.3000005781650543,-2.9103830456733704e-11,0.9041720986366272
49.0,-16.0,0.004964777268469334,-0.004002791363745928,-1.1360719696969697,0.07361742424242416,0.0,0.0,0.06259915232658386,0.0,13.167,0.31479284167289734,0.015963666141033173,0.9491106986999511,0.3000005781650543,-2.9103830456733704e-11,0.9047964930534362
48.0,35.0,0.004964777268469334,-0.004002791363745928,-1.0999772727272727,0.05076893939393936,0.0,0.0,0.06259915232658386,0.0,13.171,0.3147717297077179,0.016044925525784494,0.9491239309310913,0.3000005781650543,-2.9103830456733704e-11,0.9054656863212586
37.0,32.0,0.005207096692174673,-0.003995786886662245,-1.057973484848485,0.11616287878787879,0.0,0.0,0.06259915232658386,0.0,13.175,0.31477763056755065,0.016195931285619736,0.9491224169731141,0.3000005781650543,-2.9103830456733704e-11,0.9061778306961059
39.0,12.0,0.005207096692174673,-0.003995786886662245,-1.010799242424243,0.011325757575757578,0.0,0.0,0.06259915232658386,0.0,13.179,0.31476601362228396,0.016339354589581488,0.9491260886192322,0.3000005781650543,-2.9103830456733704e-11,0.9069343686103821
