omega_x,omega_y,qx,qy,Mx,My,u0,u1,psi,ind,t,x,y,z,xd,yd,zd
-9.0,-10.0,0.0015950064407661557,0.0008363659726455808,-0.973768939393939,-0.16432196969696983,0.0,0.0,0.06612667441368103,0.0,29.685,0.2950147271156311,0.003974033705890179,0.6362285137176513,0.2999974489212036,-2.086162567138672e-07,0.663978660106659
11.0,-7.0,0.0015950064407661557,0.0008363659726455808,-0.9874583333333333,-0.18598863636363633,0.0,0.0,0.06612667441368103,0.0,29.689,0.29501584768295286,0.003971915412694216,0.6362570405006409,0.2999974489212036,-2.086162567138672e-07,0.6663707852363586
5.0,-10.0,0.0015950064407661557,0.0008363659726455808,-0.9664810606060612,-0.1715113636363636,0.0,0.0,0.06612667441368103,0.0,29.693,0.29501873254776,0.003966713603585958,0.6363117575645447,0.2999974489212036,-2.086162567138672e-07,0.6688079953193664
11.0,-12.0,0.001619950053282082,0.0008838362991809845,-0.9902651515151518,-0.1541780303030304,0.0,0.0,0.06612667441368103,0.0,29.697,0.29501928091049195,0.003965686727315188,0.6363255262374878,0.2999974489212036,-2.086162567138672e-07,0.6712901711463928
9.0,-15.0,0.001619950053282082,0.0008838362991809845,-0.9166477272727278,-0.13172348484848512,0.0,0.0,0.06612667441368103,0.0,29.701,0.2950204014778137,0.003963636327534914,0.636352288722992,0.2999974489212036,-2.086162567138672e-07,0.6738150715827942
-1.0,-14.0,0.0016593526815995574,0.0009572679991833866,-0.9301401515151525,-0.11586742424242438,0.0,0.0,0.06612667441368103,0.0,29.705,0.2950188934803009,0.003966279979795218,0.6363319396972656,0.2999974489212036,-2.086162567138672e-07,0.6763841986656189
8.0,-2.0,0.0016593526815995574,0.0009572679991833866,-0.9874583333333348,-0.1793409090909094,0.0,0.0,0.06612667441368103,0.0,29.709,0.2950200319290161,0.0039642882533371445,0.6363530039787293,0.2999974489212036,-2.086162567138672e-07,0.6789975643157959
9.0,-10.0,0.0016593526815995574,0.0009572679991833866,-0.9728333333333339,-0.1885984848484849,0.0,0.0,0.06612667441368103,0.0,29.713,0.29501824378967284,0.004070388153195381,0.6363222360610962,0.2999974489212036,-2.086162567138672e-07,0.6816543817520142
-7.0,-29.0,0.0016944404924288392,0.0009903761092573404,-0.9324053030303034,-0.11409469696969694,0.0,0.0,0.06612667441368103,0.0,29.717,0.2950187921524048,0.004172313120216131,0.6363324165344239,0.2999974489212036,-2.086162567138672e-07,0.6843548893928528
-10.0,-31.0,0.0016944404924288392,0.0009903761092573404,-0.936984848484849,-0.11951136363636365,0.0,0.0,0.06612667441368103,0.0,29.721,0.29501996636390687,0.0042772101238369945,0.6363521933555603,0.2999974489212036,-2.086162567138672e-07,0.6870996475219726
