omega_x,omega_y,qx,qy,Mx,My,u0,u1,psi,ind,t,x,y,z,xd,yd,zd
62.0,42.0,-0.0008483835845254362,0.0008675929857417941,-1.0247348484848484,-0.2728030303030303,0.0,0.0,0.45224717259407043,0.0,18.327,0.29603461027145384,4.127134684495104e-06,0.6400884747505188,0.3000020980834961,1.3113021850585938e-06,0.6013457536697387
60.0,34.0,-0.000609074835665524,0.0006724458071403205,-0.9470795454545453,-0.21824242424242427,0.0,0.0,0.45224717259407043,0.0,18.331,0.2960277318954468,4.672058594223927e-06,0.6400936961174011,0.3000020980834961,1.3113021850585938e-06,0.6017059803009033
53.0,37.0,-0.000609074835665524,0.0006724458071403205,-0.9043863636363636,-0.1506818181818182,0.0,0.0,0.45224717259407043,0.0,18.335,0.29601901173591616,4.602091439664946e-06,0.6400837779045105,0.3000020980834961,1.3113021850585938e-06,0.6021104693412781
52.0,22.0,-0.0003146588278468698,0.0004916139878332615,-0.8934545454545454,-0.11631060606060606,0.0,0.0,0.45224717259407043,0.0,18.339,0.2960157573223114,5.0662145440583116e-06,0.6400865912437439,0.3000020980834961,1.3113021850585938e-06,0.6025587439537048
24.0,-2.0,-0.0003146588278468698,0.0004916139878332615,-0.902121212121212,-0.17771590909090912,0.0,0.0,0.45224717259407043,0.0,18.343,0.29601173400878905,5.234247691987548e-06,0.6400790691375733,0.3000020980834961,1.3113021850585938e-06,0.6030516624450684
20.0,-7.0,-0.0003146588278468698,0.0004916139878332615,-0.8447045454545453,-0.09779545454545455,0.0,0.0,0.45224717259407043,0.0,18.347,0.29601083397865297,6.218996168172452e-06,0.6400866746902466,0.3000020980834961,1.3113021850585938e-06,0.603587806224823
4.0,-25.0,-0.0001512541202828288,0.0004667281755246222,-0.8394848484848483,-0.08681439393939394,0.0,0.0,0.45224717259407043,0.0,18.351,0.2960099339485168,7.203744644357357e-06,0.6400942802429199,0.3000020980834961,1.3113021850585938e-06,0.6041678667068482
8.0,-24.0,-0.0001512541202828288,0.0004667281755246222,-0.8682916666666666,-0.15220833333333333,0.0,0.0,0.45224717259407043,0.0,18.355,0.29600959420204165,7.679044210817665e-06,0.6400972127914428,0.3000020980834961,1.3113021850585938e-06,0.6047919631004334
25.0,2.0,-0.00010075898171635345,0.000571983982808888,-0.8286022727272725,-0.08154545454545459,0.0,0.0,0.45224717259407043,0.0,18.359,0.2960092544555664,8.154343777277973e-06,0.6401001453399658,0.3000020980834961,1.3113021850585938e-06,0.6054597973823548
-11.0,-33.0,-0.00010075898171635345,0.000571983982808888,-0.7294772727272726,0.08346590909090908,0.0,0.0,0.45224717259407043,0.0,18.363,0.29600943326950074,8.383647400478367e-06,0.6400026082992554,0.3000020980834961,1.3113021850585938e-06,0.6061720609664917
-15.0,-45.0,-0.00010075898171635345,0.000571983982808888,-0.8355946969696969,-0.019598484848484875,0.0,0.0,0.45224717259407043,0.0,18.367,0.29600961208343507,8.612951023678762e-06,0.6399050712585449,0.3000020980834961,1.3113021850585938e-06,0.6069278359413147
-10.0,-22.0,-0.00010324535105610266,0.0006938171572983265,-0.8569659090909092,-0.06810227272727279,0.0,0.0,0.45224717259407043,0.0,18.371,0.29600865840911866,7.827653917047428e-06,0.6397437572479248,0.3000020980834961,1.3113021850585938e-06,0.6077279090881348
-4.0,-38.0,-0.00010324535105610266,0.0006938171572983265,-0.8500719696969696,0.006253787878787787,0.0,0.0,0.45224717259407043,0.0,18.375,0.29600988030433656,8.630537104181713e-06,0.6395997881889344,0.3000020980834961,1.3113021850585938e-06,0.6085713386535645
-31.0,-76.0,-0.00014844088582322001,0.0008658920996822417,-0.8629734848484848,-0.05342803030303038,0.0,0.0,0.45224717259407043,0.0,18.379,0.29600967168807985,8.279547455458668e-06,0.6394178152084351,0.3000020980834961,1.3113021850585938e-06,0.6094591736793518
-17.0,-66.0,-0.00014844088582322001,0.0008658920996822417,-0.9452083333333331,-0.17264393939393946,0.0,0.0,0.45224717259407043,0.0,18.383,0.29601085782051084,8.698910005477955e-06,0.6393396139144898,0.3000020980834961,1.3113021850585938e-06,0.6103913187980652
1.0,-29.0,-0.00014844088582322001,0.0008658920996822417,-0.9297462121212121,-0.1256174242424243,0.0,0.0,0.45224717259407043,0.0,18.387,0.2960120439529419,9.118272555497241e-06,0.6392614126205445,0.3000020980834961,1.3113021850585938e-06,0.6113672733306885
-1.0,-39.0,-0.00023746232909616083,0.0011687312508001924,-0.852484848484848,-0.08602651515151516,0.0,0.0,0.45224717259407043,0.0,18.391,0.2960143625736237,1.0552235835348256e-05,0.6392469882965088,0.3000020980834961,1.3113021850585938e-06,0.6123870611190796
